,"File Name","Hash Value","File Size on Disk (not sortable numercially)"
1,E:\ATVILOGO.STR,9DDC4D55D0C31BECC997739575D080FA22C2A641,"4967468 bytes (4.74 MiB)"
2,E:\CD.HED,08ADFB7CC104C13ADFF262117BCF7C33EE1E3FE5,"17284 bytes (16.88 KiB)"
3,E:\CD.WAD,EB0BA067701C5CC888AFD44B7ED98DF5A196C2A3,"39229440 bytes (37.41 MiB)"
4,E:\COMPILED.XA,1AD6252229B672360FB710DF3C0ADD717EB7D068,"75640364 bytes (72.14 MiB)"
5,E:\LOGO.STR,3D2EEB040F08ADDE704287C11D4B985D8123EF74,"4252460 bytes (4.06 MiB)"
6,E:\MAR.STR,FC0A519B7DE10564757DAF1B06D26B5747F7982F,"4638720 bytes (4.42 MiB)"
7,E:\NY.STR,649F026DC5E00EAD1DE52BFCE09FA64C9D6D6C1B,"4638720 bytes (4.42 MiB)"
8,E:\PHILLY.STR,DC6C91C7477C54636EB4D527BBAD4B98F58AAC82,"4638720 bytes (4.42 MiB)"
9,E:\PSX.EXE,A2985594E7D1CD5ECBAE0ED6C0F2AC9A3E215A0E,"888832 bytes (868 KiB)"
10,E:\SCHOOL.STR,851F6010B109D31262FA8691D7580B992AAB65FA,"4638720 bytes (4.42 MiB)"
11,E:\SS.STR,A97DB00C13A0B3DDCDF3692CFFF78D1986D23387,"4638720 bytes (4.42 MiB)"
12,E:\STATIC.STR,5CAE36E9FF60692E5D7429B849C1A78B1715AFCA,"1095680 bytes (1.04 MiB)"
